"vehicle_make_name","Frequency","sas_yr_of_crsh","sas_mnth_of_crsh"
"Freightliner","121","2016","Nov"
"Freightliner","124","2016","Dec"
"Gillig","4","2015","Jan"
"Gillig","3","2015","Feb"
"Gillig","9","2015","Mar"
"Gillig","26","2015","Apr"
"Gillig","1","2015","May"
"Gillig","4","2015","Jun"
"Gillig","6","2015","Jul"
"Gillig","6","2015","Aug"
"Gillig","21","2015","Sep"
"Gillig","2","2015","Oct"
"Gillig","5","2015","Nov"
"Gillig","2","2015","Dec"
"Gillig","5","2016","Jan"
"Gillig","1","2016","Feb"
"Gillig","21","2016","Mar"
"Gillig","1","2016","Apr"
"Gillig","7","2016","May"
"Gillig","1","2016","Jul"
"Gillig","12","2016","Aug"
"Gillig","5","2016","Sep"
"Gillig","15","2016","Oct"
"Gillig","1","2016","Nov"
"Gillig","4","2016","Dec"
"GMC","169","2015","Jan"
"GMC","149","2015","Feb"
"GMC","179","2015","Mar"
"GMC","186","2015","Apr"
"GMC","182","2015","May"
"GMC","252","2015","Jun"
"GMC","240","2015","Jul"
"GMC","217","2015","Aug"
"GMC","235","2015","Sep"
"GMC","231","2015","Oct"
"GMC","219","2015","Nov"
"GMC","253","2015","Dec"
"GMC","178","2016","Jan"
"GMC","192","2016","Feb"
"GMC","199","2016","Mar"
"GMC","180","2016","Apr"
"GMC","211","2016","May"
"GMC","268","2016","Jun"
"GMC","246","2016","Jul"
"GMC","209","2016","Aug"
"GMC","223","2016","Sep"
"GMC","211","2016","Oct"
"GMC","222","2016","Nov"
"GMC","202","2016","Dec"
"Grumman","1","2015","Jan"
"Grumman","1","2015","May"
"Grumman","1","2015","Jun"
"Grumman","1","2016","Jan"
"Grumman","1","2016","Apr"
"Grumman","1","2016","May"
"Grumman","2","2016","Sep"
"Harley-Davidson","66","2015","Jan"
"Harley-Davidson","50","2015","Feb"
"Harley-Davidson","113","2015","Mar"
"Harley-Davidson","159","2015","Apr"
"Harley-Davidson","262","2015","May"
"Harley-Davidson","259","2015","Jun"
"Harley-Davidson","266","2015","Jul"
"Harley-Davidson","274","2015","Aug"
"Harley-Davidson","242","2015","Sep"
"Harley-Davidson","193","2015","Oct"
"Harley-Davidson","81","2015","Nov"
"Harley-Davidson","78","2015","Dec"
"Harley-Davidson","62","2016","Jan"
"Harley-Davidson","104","2016","Feb"
"Harley-Davidson","133","2016","Mar"
"Harley-Davidson","214","2016","Apr"
"Harley-Davidson","280","2016","May"
"Harley-Davidson","282","2016","Jun"
"Harley-Davidson","317","2016","Jul"
"Harley-Davidson","266","2016","Aug"
"Harley-Davidson","276","2016","Sep"
"Harley-Davidson","245","2016","Oct"
"Harley-Davidson","146","2016","Nov"
"Harley-Davidson","52","2016","Dec"
"Honda","361","2015","Jan"
"Honda","329","2015","Feb"
